Timestamp,1.	What is Your Nationality?,2.	What is Your Age?,3.	Should the People’s Park Complex be conserved?,"4. If we want to conserve the People’s Park Complex, and the government wants to collect monthly taxes for 1 year from everyone for renovation, conservation and renewal purposes, how much should the government collect that you are willing to pay? You would be paying for the maintenance of the building’s exterior features and the improvement of interior facilities to prevent it from demolishment. (Please circle one answer) ",4.1 What will be your maximum willingness to pay for the conservation of People’s Park Complex? ,"If you have ZERO willingness to pay, which of the following reason best explain your zero willingness to pay? (Please select 1 option only)",6.	What is Your Ethnic Group?,7.	What is Your monthly income?,8.	How often do you visit the People’s Park Complex in a year?,9. How far is the People’s Park Complex from your place of residence?,"10.	Are you a resident of, or own property in, the People's Park Complex?"
10/31/2020 15:06:51,Singaporean,18-35,Yes,S$50,100,I do not frequently visit this area.,Chinese,No Income,4-6 times – I occasionally visit this place,0.5– 1 hour,No
10/31/2020 16:30:31,Singaporean,14,Yes,S$10,5,I do not frequently visit this area.,Chinese,"S$1,000 – S$1,999",1-3 times – I seldom visit this place,1 to 1.5 hours,No
10/31/2020 23:45:29,Singaporean,36-50,Yes,S$10,10,,Chinese,"S$7,000 - S$7,999",10 times or more – I always visit this place,0.5– 1 hour,No
10/31/2020 23:46:18,Others,18-35,Yes,S$25,300,,Chinese,"S$3,000 - S$3,999",1-3 times – I seldom visit this place,0 – 0.5 hours,No
11/2/2020 20:43:14,Singaporean,36-50,Yes,S$100,100,,Chinese,Prefer Not to Say,7-9 times – I frequently visit this place,0.5– 1 hour,No
11/2/2020 20:43:26,Singaporean,18-35,Yes,S$50,50,,Chinese,Prefer Not to Say,4-6 times – I occasionally visit this place,0.5– 1 hour,No
11/2/2020 20:44:28,Singaporean,18-35,Yes,S$25,50,,Chinese,Prefer Not to Say,4-6 times – I occasionally visit this place,0.5– 1 hour,No
11/2/2020 20:44:44,Singaporean,18-35,Yes,S$25,25,,Malay,Prefer Not to Say,1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 20:46:14,Singaporean,36-50,Yes,S$20,50,,Chinese,Prefer Not to Say,1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 20:46:32,Singaporean,18-35,Unsure,S$0,0,I cannot afford to pay.,Chinese,No Income,1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 20:47:31,Singaporean,18-35,Unsure,S$0,0,I do not frequently visit this area.,Chinese,Prefer Not to Say,1-3 times – I seldom visit this place,0.5– 1 hour,No
11/2/2020 20:47:48,Singaporean,18-35,Yes,S$10,10,,Chinese,"Below S$1,000",10 times or more – I always visit this place,0 – 0.5 hours,No
11/2/2020 20:48:36,Singaporean,18-35,Yes,S$5,5,,Chinese,No Income,1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 20:50:08,Singaporean,18-35,Yes,S$0,0,I cannot afford to pay.,Chinese,No Income,7-9 times – I frequently visit this place,1.5 to 2 hours,No
11/2/2020 20:50:09,Singaporean,Above 65,No,S$0,0,"The business owners in the area should pay for it, not me.",Chinese,No Income,10 times or more – I always visit this place,0 – 0.5 hours,No
11/2/2020 20:51:06,Singaporean,18-35,Yes,S$10,15,,Chinese,"Below S$1,000",0 times – I do not visit this place,0.5– 1 hour,No
11/2/2020 20:52:54,Singaporean,51-65,No,S$0,0,I am opposed to paying for this conservation effort.,Chinese,"S$1,000 – S$1,999",10 times or more – I always visit this place,0 – 0.5 hours,No
11/2/2020 20:53:21,Singaporean,18-35,Yes,S$0,0,I cannot afford to pay.,Chinese,"Below S$1,000",1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 20:54:23,Singaporean,51-65,Unsure,S$0,0,I need more information/time to answer this question.,Chinese,Prefer Not to Say,10 times or more – I always visit this place,0.5– 1 hour,No
11/2/2020 20:54:32,Singaporean,18-35,Yes,S$20,50,,Chinese,No Income,10 times or more – I always visit this place,0.5– 1 hour,No
11/2/2020 20:55:18,Singaporean,18-35,Yes,S$5,10,,Chinese,No Income,1-3 times – I seldom visit this place,1.5 to 2 hours,No
11/2/2020 20:57:11,Singaporean,18-35,Yes,S$20,50,,Chinese,"Below S$1,000",10 times or more – I always visit this place,0 – 0.5 hours,No
11/2/2020 20:58:31,Others,18-35,Yes,S$50,50,,Chinese,"S$1,000 – S$1,999",10 times or more – I always visit this place,0.5– 1 hour,No
11/2/2020 20:58:58,Singapore Permanent Resident,36-50,Unsure,S$0,0,I cannot afford to pay.,Chinese,"S$3,000 - S$3,999",10 times or more – I always visit this place,1 to 1.5 hours,No
11/2/2020 20:59:25,Singaporean,36-50,Yes,S$50,100,,Chinese,"S$2,000 - S$2,999",7-9 times – I frequently visit this place,0.5– 1 hour,No
11/2/2020 20:59:55,Singaporean,36-50,Yes,S$5,10,,Chinese,"S$10,000 and above",10 times or more – I always visit this place,0 – 0.5 hours,No
11/2/2020 21:00:22,Singaporean,36-50,Yes,S$25,100,,Chinese,"S$10,000 and above",10 times or more – I always visit this place,0.5– 1 hour,No
11/2/2020 21:02:39,Singaporean,18-35,No,S$0,0,I cannot afford to pay.,idk,No Income,1-3 times – I seldom visit this place,0.5– 1 hour,No
11/2/2020 21:05:48,Singaporean,18-35,Unsure,S$0,0,I do not frequently visit this area.,Chinese,No Income,0 times – I do not visit this place,1 to 1.5 hours,No
11/2/2020 21:06:05,Singaporean,18-35,Yes,S$1,15,I do not frequently visit this area.,Chinese,No Income,0 times – I do not visit this place,1 to 1.5 hours,No
11/2/2020 21:07:22,Singaporean,18-35,Yes,S$2,15,,Chinese,"S$2,000 - S$2,999",1-3 times – I seldom visit this place,1 to 1.5 hours,No
11/2/2020 21:07:36,Singaporean,18-35,Yes,S$0,0,"The government should pay for it, not me.",Chinese,No Income,1-3 times – I seldom visit this place,More than 2 hours,No